Name,Latitude,Longitude,Description
"DJI_20250902155054_0172_D_PANO.jpg",+63.374730569,-145.680512064,"DJI_20250902155054_0172_D_PANO.jpg"
"DJI_20250902155539_0177_D.jpg",+63.371994323,-145.677848012,"DJI_20250902155539_0177_D.jpg"
"DJI_20250902160429_0190_D.jpg",+63.354193107,-145.739662141,"DJI_20250902160429_0190_D.jpg"
"DJI_20250902160434_0191_D.jpg",+63.354192421,-145.739661035,"DJI_20250902160434_0191_D.jpg"
"DJI_20250902160437_0192_D.jpg",+63.354192947,-145.739661397,"DJI_20250902160437_0192_D.jpg"
"DJI_20250902204044_0198_D.jpg",+63.420868459,-145.723775234,"DJI_20250902204044_0198_D.jpg"
"DJI_20250902204104_0199_D.jpg",+63.420874284,-145.723788714,"DJI_20250902204104_0199_D.jpg"
"DJI_20250902204116_0200_D.jpg",+63.420874128,-145.723787733,"DJI_20250902204116_0200_D.jpg"
"DJI_20250902204200_0204_D.jpg",+63.420886188,-145.724017052,"DJI_20250902204200_0204_D.jpg"
"DJI_20250902204225_0205_D.jpg",+63.420899811,-145.724187471,"DJI_20250902204225_0205_D.jpg"
"DJI_20250902204241_0207_D.jpg",+63.420899568,-145.724187404,"DJI_20250902204241_0207_D.jpg"
"DJI_20250902204403_0210_D.jpg",+63.421113836,-145.724963744,"DJI_20250902204403_0210_D.jpg"
"DJI_20250902204500_0212_D.jpg",+63.421141300,-145.725404511,"DJI_20250902204500_0212_D.jpg"
"DJI_20250902205057_0220_D.jpg",+63.417828970,-145.721096436,"DJI_20250902205057_0220_D.jpg"
"DJI_20250902212703_0239_D.jpg",+63.337116181,-145.791123539,"DJI_20250902212703_0239_D.jpg"
"DJI_20250902213045_0243_D.jpg",+63.338370035,-145.793240274,"DJI_20250902213045_0243_D.jpg"
"DJI_20250902213231_0246_D_PANO.jpg",+63.340605399,-145.796628450,"DJI_20250902213231_0246_D_PANO.jpg"
"DJI_20250902213505_0253_D.jpg",+63.341084928,-145.791671919,"DJI_20250902213505_0253_D.jpg"
"DJI_20250902213712_0257_D.jpg",+63.338193510,-145.779919161,"DJI_20250902213712_0257_D.jpg"
"DJI_20250902213753_0259_D.jpg",+63.336651342,-145.774552189,"DJI_20250902213753_0259_D.jpg"
"DJI_20250902213820_0260_D-Edit.jpg",+63.337458422,-145.777513564,"DJI_20250902213820_0260_D-Edit.jpg"
"DJI_20250902213820_0260_D.jpg",+63.337458422,-145.777513564,"DJI_20250902213820_0260_D.jpg"
"DJI_20250902213821_0261_D.jpg",+63.337458491,-145.777513642,"DJI_20250902213821_0261_D.jpg"
"DJI_20250902213911_0263_D.jpg",+63.339590426,-145.784182187,"DJI_20250902213911_0263_D.jpg"
"DJI_20250902214417_0273_D.jpg",+63.335635686,-145.740041302,"DJI_20250902214417_0273_D.jpg"
"DJI_20250902214451_0275_D.jpg",+63.336228467,-145.739365043,"DJI_20250902214451_0275_D.jpg"
"DJI_20250902_001_0254 Panorama.jpg",+63.340285255,-145.789072669,"DJI_20250902_001_0254 Panorama.jpg"
"DJI_20250903073921_0292_D.jpg",+63.852020846,-145.752335957,"DJI_20250903073921_0292_D.jpg"
"DJI_20250903074158_0302_D.jpg",+63.845142698,-145.777717072,"DJI_20250903074158_0302_D.jpg"
"DJI_20250903074207_0303_D.jpg",+63.844824686,-145.779279455,"DJI_20250903074207_0303_D.jpg"
"DJI_20250903074222_0304_D.jpg",+63.844146869,-145.781337260,"DJI_20250903074222_0304_D.jpg"
"DJI_20250903074307_0305_D.jpg",+63.844406653,-145.780242682,"DJI_20250903074307_0305_D.jpg"
"DJI_20250903074540_0310_D.jpg",+63.846685823,-145.776043937,"DJI_20250903074540_0310_D.jpg"
"DJI_20250903074542_0311_D.jpg",+63.846685674,-145.776043962,"DJI_20250903074542_0311_D.jpg"
"DJI_20250903074714_0314_D.jpg",+63.846918537,-145.774017304,"DJI_20250903074714_0314_D.jpg"
"DJI_20250903074832_0315_D.jpg",+63.845759012,-145.792441423,"DJI_20250903074832_0315_D.jpg"
"DJI_20250903074848_0316_D.jpg",+63.845370763,-145.791269793,"DJI_20250903074848_0316_D.jpg"
"DJI_20250903074904_0317_D.jpg",+63.845401064,-145.790918662,"DJI_20250903074904_0317_D.jpg"
"DJI_20250903074908_0318_D.jpg",+63.845401025,-145.790918032,"DJI_20250903074908_0318_D.jpg"
"DJI_20250903074916_0319_D.jpg",+63.845401268,-145.790917925,"DJI_20250903074916_0319_D.jpg"
"DJI_20250903074924_0320_D.jpg",+63.845069536,-145.790776595,"DJI_20250903074924_0320_D.jpg"
"DJI_20250903074927_0321_D.jpg",+63.845069341,-145.790776991,"DJI_20250903074927_0321_D.jpg"
"DJI_20250903074942_0322_D.jpg",+63.845070149,-145.790776640,"DJI_20250903074942_0322_D.jpg"
"DJI_20250903075000_0323_D.jpg",+63.845126559,-145.790463308,"DJI_20250903075000_0323_D.jpg"
"DJI_20250903075007_0324_D.jpg",+63.845126344,-145.790462921,"DJI_20250903075007_0324_D.jpg"
"DJI_20250903075019_0325_D.jpg",+63.845126358,-145.790463159,"DJI_20250903075019_0325_D.jpg"
"DJI_20250903075030_0326_D.jpg",+63.845126542,-145.790462558,"DJI_20250903075030_0326_D.jpg"
"DJI_20250903075052_0328_D.jpg",+63.845126347,-145.790462821,"DJI_20250903075052_0328_D.jpg"
"DJI_20250903075057_0329_D.jpg",+63.845126393,-145.790462786,"DJI_20250903075057_0329_D.jpg"
"DJI_20250903075101_0330_D.jpg",+63.845126501,-145.790462866,"DJI_20250903075101_0330_D.jpg"
"DJI_20250903075110_0331_D.jpg",+63.845126230,-145.790462880,"DJI_20250903075110_0331_D.jpg"
"DJI_20250903075121_0332_D.jpg",+63.844968445,-145.792647597,"DJI_20250903075121_0332_D.jpg"
"DJI_20250903075123_0333_D.jpg",+63.844968683,-145.792652202,"DJI_20250903075123_0333_D.jpg"
"DJI_20250903075132_0334_D.jpg",+63.844859075,-145.794066868,"DJI_20250903075132_0334_D.jpg"
"DJI_20250903075135_0335_D.jpg",+63.844859048,-145.794068862,"DJI_20250903075135_0335_D.jpg"
"DJI_20250903080313_0339_D.jpg",+63.847174545,-145.762737528,"DJI_20250903080313_0339_D.jpg"
"DJI_20250903080328_0340_D.jpg",+63.847397607,-145.762202484,"DJI_20250903080328_0340_D.jpg"
"DJI_20250903080349_0341_D.jpg",+63.847606624,-145.761755061,"DJI_20250903080349_0341_D.jpg"
"DJI_20250904112948_0358_D.jpg",+61.784763295,-149.381757564,"DJI_20250904112948_0358_D.jpg"
"DJI_20250904113254_0360_D.jpg",+61.790339018,-149.374886666,"DJI_20250904113254_0360_D.jpg"
"DJI_20250904113422_0362_D.jpg",+61.790098975,-149.372452697,"DJI_20250904113422_0362_D.jpg"
"DJI_20250904113528_0363_D.jpg",+61.789724716,-149.370695039,"DJI_20250904113528_0363_D.jpg"
"DJI_20250904113813_0368_D.jpg",+61.792333331,-149.365084793,"DJI_20250904113813_0368_D.jpg"
"DJI_20250904114151_0382_D.jpg",+61.792517448,-149.346385087,"DJI_20250904114151_0382_D.jpg"
"DJI_20250905185655_0437_D.jpg",+61.655838454,-147.972848858,"DJI_20250905185655_0437_D.jpg"
"DJI_20250905191855_0510_D.jpg",+61.637050573,-147.969383413,"DJI_20250905191855_0510_D.jpg"
"DJI_20250905192108_0517_D.jpg",+61.632039387,-147.974310107,"DJI_20250905192108_0517_D.jpg"
"DJI_20250905192138_0518_D.jpg",+61.632044312,-147.973911324,"DJI_20250905192138_0518_D.jpg"
"DJI_20250907082522_0545_D.jpg",+61.890528360,-147.285053885,"DJI_20250907082522_0545_D.jpg"
"DJI_20250907082547_0548_D.jpg",+61.890722781,-147.285859788,"DJI_20250907082547_0548_D.jpg"
"DJI_20250907083824_0596_D.jpg",+61.884637127,-147.332567956,"DJI_20250907083824_0596_D.jpg"
"DJI_20250908081130_0602_D.jpg",+61.783251555,-147.670477665,"DJI_20250908081130_0602_D.jpg"
"DJI_20250908081245_0603_D.jpg",+61.783213629,-147.670393300,"DJI_20250908081245_0603_D.jpg"
"DJI_20250908081307_0604_D.jpg",+61.783161312,-147.670370682,"DJI_20250908081307_0604_D.jpg"
"DJI_20250908081316_0605_D.jpg",+61.783158994,-147.670368612,"DJI_20250908081316_0605_D.jpg"
"DJI_20250908081342_0606_D.jpg",+61.783159119,-147.670368211,"DJI_20250908081342_0606_D.jpg"
"DJI_20250908081430_0608_D.jpg",+61.783140117,-147.670351559,"DJI_20250908081430_0608_D.jpg"
"DJI_20250908081632_0615_D.jpg",+61.783052717,-147.670308445,"DJI_20250908081632_0615_D.jpg"
"DJI_20250908081800_0621_D.jpg",+61.783121679,-147.670340625,"DJI_20250908081800_0621_D.jpg"
"DJI_20250908081957_0626_D.jpg",+61.782306116,-147.671563564,"DJI_20250908081957_0626_D.jpg"
"DJI_20250908082345_0642_D.jpg",+61.783044000,-147.680489152,"DJI_20250908082345_0642_D.jpg"
"DJI_20250908082349_0643_D.jpg",+61.783043700,-147.680488969,"DJI_20250908082349_0643_D.jpg"
"DJI_20250908082349_0644_D.jpg",+61.783043700,-147.680488969,"DJI_20250908082349_0644_D.jpg"
"DJI_20250908082405_0647_D.jpg",+61.783043196,-147.680489589,"DJI_20250908082405_0647_D.jpg"
"DJI_20250908082430_0652_D.jpg",+61.783308622,-147.681713717,"DJI_20250908082430_0652_D.jpg"
"DJI_20250908082430_0653_D.jpg",+61.783308619,-147.681713737,"DJI_20250908082430_0653_D.jpg"
"DJI_20250908082759_0662_D.jpg",+61.783120307,-147.675701426,"DJI_20250908082759_0662_D.jpg"
"DJI_20250908083208_0689_D.jpg",+61.783283145,-147.667272730,"DJI_20250908083208_0689_D.jpg"
"DJI_20250908083412_0697_D.jpg",+61.786462915,-147.670357276,"DJI_20250908083412_0697_D.jpg"
"DJI_20250908083420_0701_D.jpg",+61.786462939,-147.670356623,"DJI_20250908083420_0701_D.jpg"
"DJI_20250908083434_0704_D-Edit.jpg",+61.786462715,-147.670356364,"DJI_20250908083434_0704_D-Edit.jpg"
"DJI_20250908083434_0704_D.jpg",+61.786462715,-147.670356364,"DJI_20250908083434_0704_D.jpg"
"DJI_20250908200337_0751_D.jpg",+61.511140444,-147.572267587,"DJI_20250908200337_0751_D.jpg"
"DJI_20250908200501_0752_D.jpg",+61.510957865,-147.572533147,"DJI_20250908200501_0752_D.jpg"
"DJI_20250908210053_0888_D.jpg",+61.600695987,-147.501853830,"DJI_20250908210053_0888_D.jpg"
"DJI_20250908210056_0892_D.jpg",+61.600695562,-147.501853261,"DJI_20250908210056_0892_D.jpg"
"DJI_20250908210304_0904_D.jpg",+61.594878818,-147.512898421,"DJI_20250908210304_0904_D.jpg"
"DJI_20250908211057_0958_D.jpg",+61.591338138,-147.515214719,"DJI_20250908211057_0958_D.jpg"
"DJI_20250908211201_0970_D.jpg",+61.591068895,-147.516613999,"DJI_20250908211201_0970_D.jpg"
"DJI_20250908211201_0971_D.jpg",+61.591068895,-147.516613999,"DJI_20250908211201_0971_D.jpg"
"DJI_20250908211347_0990_D.jpg",+61.592552254,-147.512947128,"DJI_20250908211347_0990_D.jpg"
"DJI_20250908212125_0055_D.jpg",+61.599240474,-147.500248556,"DJI_20250908212125_0055_D.jpg"
"DJI_20250908212125_0056_D.jpg",+61.599240498,-147.500248553,"DJI_20250908212125_0056_D.jpg"
"DJI_20250908212147_0058_D.jpg",+61.599035084,-147.499878200,"DJI_20250908212147_0058_D.jpg"
"DJI_20250908212147_0059_D.jpg",+61.599035063,-147.499878279,"DJI_20250908212147_0059_D.jpg"
"DJI_20250908212323_0074_D.jpg",+61.598627163,-147.498089364,"DJI_20250908212323_0074_D.jpg"
"DJI_20250909074915_0115_D.jpg",+61.845978338,-147.375391622,"DJI_20250909074915_0115_D.jpg"
"DJI_20250909074915_0116_D.jpg",+61.845978338,-147.375391622,"DJI_20250909074915_0116_D.jpg"
"DJI_20250909074915_0117_D.jpg",+61.845971135,-147.375386572,"DJI_20250909074915_0117_D.jpg"
"DJI_20250909074941_0118_D.jpg",+61.843592885,-147.371076386,"DJI_20250909074941_0118_D.jpg"
"DJI_20250909075222_0122_D.jpg",+61.835220794,-147.366873245,"DJI_20250909075222_0122_D.jpg"
"DJI_20250909075323_0134_D.jpg",+61.835203406,-147.366745707,"DJI_20250909075323_0134_D.jpg"
"DJI_20250909075437_0142_D.jpg",+61.835117793,-147.366947164,"DJI_20250909075437_0142_D.jpg"
"DJI_20250909075437_0143_D.jpg",+61.835117793,-147.366947164,"DJI_20250909075437_0143_D.jpg"
"DJI_20250909075508_0149_D.jpg",+61.835123014,-147.366943758,"DJI_20250909075508_0149_D.jpg"
"DJI_20250909075518_0151_D.jpg",+61.835123427,-147.366943191,"DJI_20250909075518_0151_D.jpg"
"DJI_20250909080919_0184_D.jpg",+61.831741274,-147.373432394,"DJI_20250909080919_0184_D.jpg"
"DJI_20250909080952_0191_D.jpg",+61.833777369,-147.374293917,"DJI_20250909080952_0191_D.jpg"
"DJI_20250909081639_0199_D.jpg",+61.845975712,-147.342361175,"DJI_20250909081639_0199_D.jpg"
"DJI_20250909082109_0209_D.jpg",+61.842294935,-147.329300891,"DJI_20250909082109_0209_D.jpg"
"DJI_20250909082301_0217_D.jpg",+61.842695164,-147.327074401,"DJI_20250909082301_0217_D.jpg"
"DJI_20250909082313_0218_D.jpg",+61.842695774,-147.327075849,"DJI_20250909082313_0218_D.jpg"
"DJI_20250909082321_0221_D.jpg",+61.842705420,-147.326969623,"DJI_20250909082321_0221_D.jpg"
"DJI_20250909082345_0224_D.jpg",+61.842700067,-147.327041924,"DJI_20250909082345_0224_D.jpg"
"DJI_20250909082404_0227_D.jpg",+61.842687593,-147.327221347,"DJI_20250909082404_0227_D.jpg"
"DJI_20250909082412_0228_D.jpg",+61.842651127,-147.327746260,"DJI_20250909082412_0228_D.jpg"
"DJI_20250909082423_0229_D.jpg",+61.842627392,-147.328125878,"DJI_20250909082423_0229_D.jpg"
"DJI_20250909082435_0231_D.jpg",+61.842626190,-147.328142172,"DJI_20250909082435_0231_D.jpg"
"DJI_20250909082448_0233_D.jpg",+61.842626061,-147.328143006,"DJI_20250909082448_0233_D.jpg"
"DJI_20250909082454_0234_D.jpg",+61.842626048,-147.328142886,"DJI_20250909082454_0234_D.jpg"
"DJI_20250909082517_0237_D.jpg",+61.842625653,-147.328142251,"DJI_20250909082517_0237_D.jpg"
"DJI_20250909082604_0244_D.jpg",+61.842457087,-147.328783401,"DJI_20250909082604_0244_D.jpg"
"DJI_20250909082611_0245_D.jpg",+61.842431621,-147.329228677,"DJI_20250909082611_0245_D.jpg"
"DJI_20250909082622_0246_D.jpg",+61.842420217,-147.329387267,"DJI_20250909082622_0246_D.jpg"
"DJI_20250909083004_0255_D.jpg",+61.842778771,-147.327183831,"DJI_20250909083004_0255_D.jpg"
"DJI_20250909083035_0259_D.jpg",+61.843267378,-147.325131955,"DJI_20250909083035_0259_D.jpg"
"DJI_20250909083301_0263_D.jpg",+61.843807933,-147.324140749,"DJI_20250909083301_0263_D.jpg"
"PANO_0001-Pano.jpg",+63.336225825,-145.739355920,"PANO_0001-Pano.jpg"
